"","name","address","type","fullLocation","lat","lng"
"481","Hon Mieu Aquarium","Nha Trang","Nature & Wildlife","Hon Mieu Aquarium, Nha Trang",NA,109.1967488
"482","Kiep Bac Temple","Con Son & Den Kiep Bac","Religious","Kiep Bac Temple, Con Son & Den Kiep Bac",NA,NA
"483","Linh Ung","Nui Son Tra (Monkey Mountain)","Landmarks & Monuments","Linh Ung, Nui Son Tra (Monkey Mountain)",NA,NA
"484","Mui Nai","Mui Nai","Beaches, Islands & Waterfronts","Mui Nai, Mui Nai",NA,NA
"485","War Memorial","Cao Bang","Landmarks & Monuments","War Memorial, Cao Bang",22.635689,106.2522143
"486","Vung Bau Beach","Phu Quoc Island","Beaches, Islands & Waterfronts","Vung Bau Beach, Phu Quoc Island",10.289879,103.98402
"487","Duyen Hai War Memorial","Can Gio","Military","Duyen Hai War Memorial, Can Gio",NA,NA
"488","Pilgrimage Spots","Kim Lien","Historic","Pilgrimage Spots, Kim Lien",NA,NA
"489","Sanctuary","Phoenix Island","Historic","Sanctuary, Phoenix Island",32.9087367,-97.584191
"490","Thom Beach","Phu Quoc Island","Beaches, Islands & Waterfronts","Thom Beach, Phu Quoc Island",10.289879,103.98402
"491","Night Market","Ha Tien","Markets & Bazaars","Night Market, Ha Tien",NA,NA
"492","Night Market","Con Dao Islands","Markets & Bazaars","Night Market, Con Dao Islands",NA,NA
"493","French War Memorial","Dien Bien Phu","Military","French War Memorial, Dien Bien Phu",NA,NA
"494","Fish Market","Dong Hoi","Markets & Bazaars","Fish Market, Dong Hoi",NA,21.0120181
"495","Tam Toa Church","Dong Hoi","Religious","Tam Toa Church, Dong Hoi",21.0809178,21.0120181
"496","Thai To Mieu Temple Complex","Hue","Other","Thai To Mieu Temple Complex, Hue",16.4498,107.5623501
"497","University of Arts","Hue","Architecture","University of Arts, Hue",16.4781067,107.5741553
"498","Vinh’s Citadel Right Gate","Vinh","Landmarks & Monuments","Vinh’s Citadel Right Gate, Vinh",18.6795848,NA
"499","Ta Phin Village","Sapa","Neighbourhoods & Villages","Ta Phin Village, Sapa",NA,NA
"500","Trang An","Ninh Binh Province","Natural Landmarks","Trang An, Ninh Binh Province",20.2594745,NA
"501","Phong Nha-Ke Bang National Park","Phong Nha-Ke Bang National Park","Parks & Gardens","Phong Nha-Ke Bang National Park, Phong Nha-Ke Bang National Park",NA,NA
"502","Dolphin","Vung Tau","Other","Dolphin, Vung Tau",10.4113797,107.136224
"503","Ho Chi Minh Statue","Pleiku","Landmarks & Monuments","Ho Chi Minh Statue, Pleiku",10.8230989,106.6296638
